"id","name","ei_code","ei_big_contribuitor","name@es","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id"
,,,,,"co_com_tax_rteica_0_69lt",,,
,,,,,"co_com_tax_rteica_0_966lt",,,
,,,,,"co_com_tax_rteica_1_104lt",,,
,,,,,"co_com_tax_rteica_1_38lt",,,
"fis_pos_co_com_prd","Production (Internal)","03",0,"Producción (Interno)","co_com_tax_iva_19gt",,"co_puc_510503","co_puc_720503"
,,,,,"co_com_tax_iva_5gt",,"co_puc_510506","co_puc_720506"
,,,,,"co_com_tax_iva_16gt",,"co_puc_510512","co_puc_720512"
,,,,,"co_com_tax_rteiva_2_85gt",,"co_puc_510515","co_puc_720515"
,,,,,"co_com_tax_rteiva_0_75gt",,"co_puc_510518","co_puc_720518"
,,,,,"co_com_tax_rteiva_2_4gt",,"co_puc_510521","co_puc_720521"
,,,,,"co_com_tax_rtefte_0_1gt",,"co_puc_510524","co_puc_720524"
,,,,,"co_com_tax_rtefte_0_5gt",,"co_puc_510527","co_puc_720527"
,,,,,"co_com_tax_rtefte_1gt",,"co_puc_510530","co_puc_720530"
,,,,,"co_com_tax_rtefte_2gt",,"co_puc_510533","co_puc_720533"
,,,,,"co_com_tax_rtefte_2_5gt",,"co_puc_510536","co_puc_720536"
,,,,,"co_com_tax_rtefte_3_5gt",,"co_puc_510539","co_puc_720539"
,,,,,"co_com_tax_rtefte_4gt",,"co_puc_510542","co_puc_720542"
,,,,,"co_com_tax_rtefte_6gt",,"co_puc_510545","co_puc_720545"
,,,,,"co_com_tax_rtefte_7gt",,"co_puc_510548","co_puc_720548"
,,,,,"co_com_tax_rtefte_10gt",,"co_puc_510551","co_puc_720551"
,,,,,"co_com_tax_rtefte_11gt",,"co_puc_510554","co_puc_720554"
,,,,,"co_com_tax_rteica_0_414gt",,"co_puc_510557","co_puc_720557"
,,,,,"co_com_tax_rteica_0_69gt",,"co_puc_510558","co_puc_720558"
,,,,,"co_com_tax_rteica_0_966gt",,"co_puc_510559","co_puc_720559"
,,,,,"co_com_tax_rteica_1_104gt",,"co_puc_510560","co_puc_720560"
,,,,,"co_com_tax_rteica_1_38gt",,"co_puc_510563","co_puc_720563"
,,,,,"co_com_tax_iva_19lt",,"co_puc_510566","co_puc_720566"
,,,,,"co_com_tax_iva_5lt",,"co_puc_510568","co_puc_720568"
,,,,,"co_com_tax_iva_16lt",,"co_puc_510569","co_puc_720569"
,,,,,"co_com_tax_rteiva_2_85lt",,"co_puc_510570","co_puc_720570"
,,,,,"co_com_tax_rteiva_0_75lt",,"co_puc_510572","co_puc_720572"
,,,,,"co_com_tax_rteiva_2_4lt",,"co_puc_510575","co_puc_720575"
,,,,,"co_com_tax_rtefte_0_1lt",,"co_puc_510578","co_puc_720578"
,,,,,"co_com_tax_rtefte_0_5lt",,"co_puc_510581","co_puc_720581"
,,,,,"co_com_tax_rtefte_1lt",,"co_puc_510584","co_puc_720584"
,,,,,"co_com_tax_rtefte_2lt",,"co_puc_510595","co_puc_720595"
,,,,,"co_com_tax_rtefte_2_5lt",,,
,,,,,"co_com_tax_rtefte_3_5lt",,,
,,,,,"co_com_tax_rtefte_4lt",,,
,,,,,"co_com_tax_rtefte_6lt",,,
,,,,,"co_com_tax_rtefte_7lt",,,
,,,,,"co_com_tax_rtefte_10lt",,,
,,,,,"co_com_tax_rtefte_11lt",,,
,,,,,"co_com_tax_rteica_0_414lt",,,
,,,,,"co_com_tax_rteica_0_69lt",,,
,,,,,"co_com_tax_rteica_0_966lt",,,
,,,,,"co_com_tax_rteica_1_104lt",,,
,,,,,"co_com_tax_rteica_1_38lt",,,
